,y_train
0,0.00775
1,0.005533333333333334
2,0.004083333333333334
3,0.0042833333333333334
4,0.010216666666666667
5,0.024866666666666665
6,0.05963333333333334
7,0.08201666666666667
8,0.0909
9,0.0733
10,0.06985
11,0.07625
12,0.08783333333333333
13,0.0835
14,0.09228333333333333
15,0.11088333333333333
16,0.11628333333333334
17,0.36390000000000006
18,0.18791666666666665
19,0.076
20,0.048716666666666665
21,0.03705
22,0.02638333333333334
23,0.015433333333333334
24,0.012049999999999998
25,0.006983333333333334
26,0.006516666666666666
27,0.005600000000000001
28,0.011166666666666667
29,0.02676666666666667
30,0.05858333333333333
31,0.08926666666666666
32,0.09283333333333332
33,0.07908333333333332
34,0.07613333333333332
35,0.08898333333333334
36,0.08613333333333334
37,0.08423333333333333
38,0.09553333333333335
39,0.1052
40,0.11083333333333334
41,0.3904166666666667
42,0.46143333333333336
43,0.07915
44,0.044116666666666665
45,0.03358333333333333
46,0.027649999999999997
47,0.016783333333333334
48,0.010833333333333334
49,0.006583333333333333
50,0.0058
51,0.005366666666666668
52,0.011999999999999999
53,0.025483333333333334
54,0.05206666666666667
55,0.08390000000000002
56,0.08616666666666667
57,0.07793333333333333
58,0.06685
59,0.06903333333333332
60,0.0722
61,0.07215
62,0.08539999999999999
63,0.09219999999999999
64,0.08748333333333332
65,0.08735
66,0.07888333333333335
67,0.05586666666666667
68,0.04036666666666667
69,0.033966666666666666
70,0.03216666666666667
71,0.022266666666666667
72,0.013916666666666666
73,0.008783333333333332
74,0.006733333333333332
75,0.0039833333333333335
76,0.007333333333333333
77,0.010749999999999997
78,0.017783333333333335
79,0.024500000000000004
80,0.03918333333333333
81,0.052550000000000006
82,0.05923333333333334
83,0.07058333333333335
84,0.07798333333333334
85,0.07951666666666667
86,0.0772
87,0.08091666666666666
88,0.07054999999999999
89,0.07215
90,0.0648
91,0.04456666666666667
92,0.03476666666666667
93,0.03431666666666666
94,0.0302
95,0.022366666666666663
96,0.013183333333333333
97,0.0098
98,0.006533333333333332
99,0.00445
100,0.004333333333333333
101,0.0058
102,0.011316666666666668
103,0.013083333333333334
104,0.01863333333333333
105,0.027283333333333337
106,0.04568333333333333
107,0.05251666666666668
108,0.06588333333333334
109,0.0726
110,0.07490000000000001
111,0.07353333333333333
112,0.06598333333333334
113,0.06383333333333334
114,0.05271666666666667
115,0.04228333333333334
116,0.036699999999999997
117,0.027900000000000005
118,0.021283333333333335
119,0.013199999999999998
120,0.009433333333333334
121,0.003616666666666667
122,0.005216666666666667
123,0.0051333333333333335
124,0.011233333333333333
125,0.02971666666666667
126,0.06110000000000001
127,0.10326666666666667
128,0.10541666666666667
129,0.08038333333333333
130,0.08078333333333333
131,0.07709999999999999
132,0.08338333333333332
133,0.07673333333333333
134,0.09234999999999999
135,0.10228333333333332
136,0.12446666666666667
137,0.45135
138,0.41001666666666664
139,0.07958333333333333
140,0.04758333333333334
141,0.03361666666666666
142,0.0291
143,0.020533333333333334
144,0.009000000000000001
145,0.006816666666666668
146,0.00495
147,0.004900000000000001
148,0.010416666666666666
149,0.02861666666666667
150,0.06261666666666667
151,0.10734999999999999
152,0.10533333333333335
153,0.08954999999999998
154,0.07198333333333333
155,0.08259999999999999
156,0.08395000000000001
157,0.07661666666666667
158,0.09243333333333333
159,0.10551666666666666
160,0.12075000000000001
161,0.45865
162,0.47433333333333333
163,0.11453333333333333
164,0.049183333333333336
165,0.03565
166,0.0256
167,0.015799999999999998
168,0.00975
169,0.005966666666666666
170,0.007183333333333333
171,0.00475
172,0.010549999999999999
173,0.02623333333333333
174,0.06063333333333334
175,0.10263333333333334
176,0.10825
177,0.0886
178,0.07595
179,0.08296666666666665
180,0.08328333333333333
181,0.08596666666666665
182,0.09096666666666665
183,0.10525000000000001
184,0.11939999999999999
185,0.3607
186,0.18951666666666667
187,0.07606666666666666
188,0.049550000000000004
189,0.03788333333333333
190,0.0289
191,0.01865
192,0.011716666666666667
193,0.0070999999999999995
194,0.006866666666666667
195,0.005516666666666666
196,0.012233333333333332
197,0.027766666666666665
198,0.059199999999999996
199,0.09023333333333333
200,0.09510000000000002
201,0.0815
202,0.08271666666666667
203,0.23565
204,0.5386666666666665
205,0.2688333333333333
206,0.10110000000000001
207,0.17343333333333333
208,0.22533333333333336
209,0.4591166666666666
210,0.45836666666666664
211,0.10106666666666668
212,0.05176666666666666
213,0.03885
214,0.029983333333333334
215,0.019433333333333334
216,0.011666666666666667
217,0.006116666666666666
218,0.008633333333333333
219,0.005549999999999999
220,0.0126
221,0.0263
222,0.05906666666666666
223,0.09754999999999998
224,0.1053
225,0.08783333333333333
226,0.07746666666666667
227,0.08505
228,0.09073333333333333
229,0.09538333333333332
230,0.10281666666666667
231,0.11041666666666666
232,0.13421666666666668
233,0.3545
234,0.48794999999999994
235,0.09765
236,0.05563333333333334
237,0.04381666666666667
238,0.0429
239,0.026816666666666666
240,0.014183333333333333
241,0.009733333333333333
242,0.008033333333333335
243,0.004883333333333334
244,0.006633333333333334
245,0.01085
246,0.018933333333333333
247,0.033666666666666664
248,0.0459
249,0.055866666666666676
250,0.06211666666666666
251,0.07451666666666666
252,0.08105
253,0.08848333333333332
254,0.08310000000000001
255,0.08283333333333333
256,0.09146666666666665
257,0.08535
258,0.08211666666666667
259,0.055316666666666674
260,0.044199999999999996
261,0.041299999999999996
262,0.0373
263,0.027233333333333335
264,0.014600000000000002
265,0.01015
266,0.007716666666666667
267,0.004716666666666668
268,0.006599999999999999
269,0.006766666666666667
270,0.01155
271,0.013516666666666668
272,0.023616666666666664
273,0.03631666666666667
274,0.05453333333333333
275,0.055899999999999984
276,0.06695
277,0.07576666666666666
278,0.0778
279,0.07178333333333332
280,0.07071666666666666
281,0.06921666666666668
282,0.05823333333333334
283,0.04765
284,0.04665
285,0.046566666666666666
286,0.02785
287,0.016316666666666667
288,0.009166666666666667
289,0.005600000000000001
290,0.0051
291,0.005716666666666666
292,0.012483333333333332
293,0.027816666666666667
294,0.06481666666666668
295,0.09910000000000001
296,0.09978333333333333
297,0.08474999999999999
298,0.07666666666666667
299,0.07896666666666667
300,0.08558333333333333
301,0.07826666666666666
302,0.09588333333333332
303,0.10363333333333334
304,0.11821666666666668
305,0.3716
306,0.29481666666666667
307,0.06946666666666666
308,0.05644999999999999
309,0.03563333333333333
310,0.026283333333333336
311,0.01545
312,0.008583333333333333
313,0.005533333333333334
314,0.004883333333333334
315,0.006816666666666666
316,0.011483333333333333
317,0.02811666666666667
318,0.0654
319,0.10686666666666667
320,0.1244
321,0.17728333333333332
322,0.07191666666666667
323,0.08411666666666667
324,0.08408333333333333
325,0.08505
326,0.09685
327,0.10798333333333332
328,0.33546666666666664
329,0.49899999999999994
330,0.45976666666666666
331,0.13030000000000003
332,0.05291666666666667
333,0.038766666666666665
334,0.027583333333333335
335,0.01753333333333333
336,0.0094
337,0.005366666666666666
338,0.0061
339,0.005566666666666667
340,0.011933333333333332
341,0.02651666666666667
342,0.06475
343,0.10853333333333333
344,0.10263333333333335
345,0.08971666666666667
346,0.0835
347,0.08073333333333334
348,0.09378333333333333
349,0.08183333333333333
350,0.09573333333333334
351,0.11108333333333333
352,0.15026666666666666
353,0.45326666666666665
354,0.45436666666666675
355,0.09363333333333335
356,0.05336666666666667
357,0.042583333333333334
358,0.031566666666666666
359,0.018033333333333335
360,0.011383333333333334
361,0.0063166666666666675
362,0.005983333333333333
363,0.0066166666666666665
364,0.01065
365,0.02545
366,0.0658
367,0.10729999999999999
368,0.10660000000000001
369,0.08648333333333334
370,0.07869999999999999
371,0.08776666666666666
372,0.08378333333333332
373,0.08650000000000001
374,0.09935000000000001
375,0.12356666666666666
376,0.4074333333333333
377,0.48666666666666664
378,0.4762166666666667
379,0.45543333333333336
380,0.05313333333333334
381,0.0405
382,0.03141666666666667
383,0.019466666666666667
384,0.011216666666666666
385,0.008066666666666668
386,0.0058000000000000005
387,0.0063
388,0.011766666666666667
389,0.02505
390,0.05625
391,0.09986666666666666
392,0.09946666666666666
393,0.08516666666666667
394,0.07869999999999999
395,0.08858333333333333
396,0.0902
397,0.09175
398,0.10666666666666669
399,0.11255
400,0.1955
401,0.48521666666666663
402,0.34335
403,0.09058333333333334
404,0.058499999999999996
405,0.04648333333333333
406,0.03943333333333333
407,0.024983333333333333
408,0.015983333333333332
409,0.008316666666666667
410,0.008483333333333334
411,0.005583333333333333
412,0.006633333333333332
413,0.010966666666666666
414,0.020916666666666663
415,0.02918333333333333
416,0.0501
417,0.05783333333333333
418,0.0652
419,0.07978333333333333
420,0.08578333333333334
421,0.08955
422,0.08776666666666666
423,0.08735
424,0.08613333333333334
425,0.08425
426,0.07788333333333335
427,0.057183333333333336
428,0.0487
429,0.040016666666666666
430,0.040600000000000004
431,0.02698333333333333
432,0.017933333333333332
433,0.01085
434,0.0070999999999999995
435,0.005666666666666666
436,0.005683333333333333
437,0.0057
438,0.0113
