,y_train
0,239.1952309985098
1,223.5469448584204
2,218.3308494783906
3,152.7570789865871
4,135.6184798807748
5,146.0506706408344
6,169.89567809239918
7,140.8345752608047
8,125.9314456035766
9,164.6795827123696
10,212.36959761549943
11,230.9985096870344
12,228.0178837555888
13,182.5633383010431
14,187.7794336810732
15,180.32786885245912
16,192.99552906110299
17,229.5081967213116
18,259.3144560357676
19,260.059612518629
20,247.3919523099852
21,239.1952309985098
22,246.6467958271238
23,197.4664679582714
24,169.8956780923996
25,164.6795827123694
26,157.2280178837555
27,113.2637853949328
28,105.8122205663188
29,114.7540983606556
30,137.1087928464976
31,138.5991058122204
32,147.5409836065572
33,189.2697466467959
34,181.0730253353205
35,227.2727272727274
36,217.5856929955292
37,177.3472429210134
38,204.91803278688542
39,220.56631892697482
40,241.430700447094
41,285.3949329359166
42,304.0238450074516
43,314.45603576751125
44,284.6497764530552
45,291.3561847988078
46,283.1594634873324
47,223.54694485842037
48,169.150521609538
49,150.5216095380028
50,146.7958271236958
51,120.7153502235468
52,119.225037257824
53,134.128166915052
54,154.99254843517122
55,175.8569299552907
56,185.54396423248897
57,178.8375558867362
58,187.03427719821178
59,240.68554396423264
60,212.3695976154994
61,166.1698956780923
62,163.9344262295082
63,204.17287630402402
64,222.801788375559
65,246.6467958271238
66,289.1207153502236
67,309.9850968703428
68,292.84649776453057
69,269.7466467958272
70,254.0983606557378
71,234.7242921013414
72,207.1535022354696
73,171.385991058122
74,163.18926974664657
75,125.1862891207152
76,122.950819672131
77,138.59910581222042
78,164.6795827123695
79,188.5245901639346
80,173.62146050670628
81,183.3084947839047
82,192.995529061103
83,202.6825633383012
84,189.26974664679588
85,173.6214605067063
86,208.64381520119238
87,214.60506706408358
88,213.11475409836078
89,277.9433681073026
90,289.865871833085
91,292.84649776453057
92,294.33681073025343
93,297.317436661699
94,272.7272727272728
95,204.172876304024
96,154.9925484351712
97,140.0894187779432
98,137.1087928464976
99,96.87034277198201
100,97.6154992548434
101,108.7928464977644
102,137.1087928464976
103,166.91505216095368
104,173.6214605067063
105,221.3114754098362
106,202.6825633383012
107,209.3889716840538
108,166.16989567809242
109,125.93144560357659
110,163.9344262295082
111,178.8375558867363
112,182.5633383010432
113,234.7242921013414
114,286.8852459016394
115,324.88822652757085
116,303.27868852459017
117,277.1982116244412
118,263.0402384500746
119,251.86289120715358
120,205.6631892697468
121,187.03427719821178
122,161.6989567809238
123,113.2637853949328
124,101.3412816691504
125,112.51862891207139
126,142.32488822652738
127,168.4053651266766
128,177.34724292101342
129,225.03725782414318
130,228.7630402384502
131,204.172876304024
132,186.2891207153503
133,134.128166915052
134,166.9150521609537
135,181.07302533532038
136,192.995529061103
137,257.0789865871834
138,292.84649776453057
139,301.043219076006
140,318.18181818181824
141,295.0819672131148
142,274.2175856929956
143,231.74366616989582
144,195.9761549925486
145,177.34724292101353
146,168.4053651266767
147,115.499254843517
148,111.77347242920999
149,124.4411326378538
150,143.0700447093888
151,136.3636363636362
152,158.71833084947832
153,188.5245901639346
154,178.09239940387488
155,194.4858420268258
156,187.03427719821173
157,158.7183308494782
158,184.79880774962749
159,194.4858420268258
160,219.82116244411338
161,248.882265275708
162,304.0238450074516
163,304.769001490313
164,263.04023845007464
165,263.78539493293596
166,248.1371087928466
167,236.9597615499256
168,210.13412816691522
169,182.5633383010433
170,173.6214605067065
171,121.46050670640821
172,114.0089418777942
173,116.24441132637841
174,143.0700447093888
175,136.3636363636362
176,169.150521609538
177,170.64083457526078
178,187.0342771982118
179,216.09538002980642
180,207.89865871833098
181,173.62146050670648
182,172.1311475409835
183,168.40536512667651
184,139.34426229508182
185,173.6214605067064
186,236.9597615499256
187,264.5305514157974
188,241.430700447094
189,250.3725782414308
190,230.253353204173
191,198.9567809239942
192,168.4053651266767
193,152.0119225037256
194,140.83457526080463
195,97.61549925484341
196,91.6542473919522
197,116.2444113263784
198,156.48286140089402
199,183.30849478390468
200,205.6631892697467
201,222.0566318926976
202,207.1535022354696
203,232.4888226527572
204,199.7019374068555
205,159.46348733233958
206,164.6795827123695
207,171.3859910581221
208,185.543964232489
209,216.8405365126678
210,305.5141579731744
211,307.7496274217586
212,298.8077496274218
213,277.9433681073026
214,252.60804769001498
215,231.74366616989582
216,175.1117734724291
217,175.8569299552906
218,181.8181818181819
219,137.1087928464976
220,135.6184798807748
221,146.7958271236959
222,176.6020864381521
223,204.91803278688542
224,206.4083457526082
225,218.3308494783906
226,212.3695976154994
227,184.7988077496275
228,193.74068554396422
229,147.5409836065572
230,160.95380029806262
231,166.16989567809242
232,169.15052160953792
233,208.6438152011923
234,324.8882265275708
235,326.3785394932936
236,327.8688524590164
237,309.2399403874814
238,294.33681073025343
239,263.04023845007464
240,208.6438152011924
241,190.0149031296574
242,184.7988077496276
243,136.3636363636362
244,129.6572280178836
245,139.3442622950818
246,169.1505216095379
247,192.2503725782415
248,210.13412816691522
249,233.97913561848003
250,234.7242921013414
251,229.5081967213116
252,223.5469448584204
253,175.85692995529058
254,192.2503725782415
255,213.1147540983608
256,213.8599105812222
257,260.05961251862897
258,312.22056631892696
259,343.5171385991058
260,332.33979135618483
261,311.4754098360656
262,271.9821162444114
263,234.7242921013414
264,190.7600596125188
265,178.09239940387488
266,166.9150521609536
267,137.1087928464976
268,125.1862891207152
269,140.0894187779432
270,164.6795827123694
271,190.76005961251883
272,194.4858420268258
273,201.19225037257831
274,195.2309985096871
275,227.2727272727274
276,209.38897168405381
277,178.09239940387502
278,177.3472429210134
279,202.6825633383012
280,176.6020864381519
281,226.52757078986602
282,291.3561847988078
283,333.0849478390462
284,323.397913561848
285,324.8882265275708
286,300.2980625931446
287,272.72727272727275
288,213.85991058122218
289,180.327868852459
290,171.38599105812222
291,134.8733233979134
292,135.6184798807748
293,141.579731743666
294,163.934426229508
295,207.89865871833098
296,178.09239940387482
297,198.21162444113278
298,198.95678092399422
299,219.076005961252
300,193.74068554396442
301,160.9538002980624
302,172.13114754098362
303,190.7600596125188
304,187.7794336810732
305,218.3308494783906
306,288.3755588673622
307,321.90760059612523
308,339.0461997019374
309,336.8107302533532
310,284.6497764530552
311,262.2950819672132
312,229.5081967213116
313,195.2309985096871
314,177.3472429210133
315,139.3442622950818
316,128.9120715350222
317,152.7570789865871
318,167.6602086438152
319,172.1311475409837
320,207.1535022354695
321,240.68554396423258
322,245.90163934426238
323,266.0208643815202
324,274.2175856929956
325,246.64679582712378
326,274.962742175857
327,246.64679582712378
328,304.0238450074516
329,314.4560357675112
330,338.30104321907595
331,368.85245901639337
332,324.1430700447094
333,298.8077496274218
334,266.0208643815202
335,232.4888226527572
336,219.07600596125198
337,189.2697466467959
338,178.09239940387502
339,128.16691505216082
340,120.71535022354679
341,132.6378539493292
342,150.5216095380028
343,143.0700447093888
344,161.69895678092388
345,179.58271236959757
346,194.4858420268257
347,239.1952309985098
348,219.076005961252
349,228.0178837555888
350,238.4500745156484
351,195.9761549925486
352,181.8181818181818
353,216.0953800298064
354,287.63040238450077
355,292.84649776453057
356,271.98211624441143
